"","priceType","area","yyyymm","day","deposit","price","floor","build","aptType","yyyy","mm","si"
"946","월세",84.954,201609,"9",25000,25,2,"2012","아파트","2016","09","고양덕양구"
"1104878","월세",31.59,201807,"3",3000,35,7,"2005","오피스텔","2018","07","부천시"
"851727","전세",46.65,201807,"6",10500,0,2,"1990","아파트","2018","07","안산단원구"
"184235","전세",84.97,201606,"14",30000,0,27,"2014","아파트","2016","06","하남시"
"285327","월세",99.2,201612,"3",4000,50,1,"1996","단독다가구","2016","12","용인기흥구"
"1531539","전세",26.67,201909,"16",12000,0,9,"2019","오피스텔","2019","09","파주시"
"964166","전세",59.67,201804,"3",12000,0,1,"1989","단독다가구","2018","04","군포시"
"1034067","전세",21,201803,"2",5500,0,1,"2012","단독다가구","2018","03","용인처인구"
"355804","월세",103.34,201602,"18",12000,70,14,"2003","오피스텔","2016","02","고양일산동구"
"857970","월세",39.75,201806,"19",500,35,17,"2000","아파트","2018","06","안성시"
"587858","전세",29.7,201703,"23",5000,0,1,"1988","단독다가구","2017","03","부천시"
"1378180","전세",35.4,201909,"6",7000,0,1,"1989","단독다가구","2019","09","부천시"
"1154175","월세",41.3,201910,"30",500,55,6,"1989","아파트","2019","10","광명시"
"392550","전세",54.48,201702,"16",40000,0,3,"1982","아파트","2017","02","과천시"
"1275862","전세",84.0525,201907,"1",17500,0,8,"2007","아파트","2019","07","오산시"
"998081","전세",23.12,201805,"4",8000,0,1,"1960","단독다가구","2018","05","수원권선구"
"1049707","전세",76,201802,"21",13000,0,1,"2009","단독다가구","2018","02","화성시"
"1093913","전세",45.33,201803,"12",18000,0,3,"2017","연립다세대","2018","03","파주시"
"106770","전세",84.86,201611,"4",17500,0,4,"2002","아파트","2016","11","시흥시"
"783457","월세",54.02,201808,"24",6000,20,2,"1986","아파트","2018","08","남양주시"
"1262266","전세",74.91,201902,"25",35000,0,9,"2019","아파트","2019","02","안양동안구"
"144438","전세",84.95,201603,"12",19500,0,1,"1999","아파트","2016","03","용인기흥구"
"267292","월세",23,201601,"14",3500,5,1,"1994","단독다가구","2016","01","안산상록구"
"130031","전세",55.1685,201606,"22",30000,0,4,"2002","아파트","2016","06","안양만안구"
"1530856","전세",63.37,201908,"28",22000,0,11,"2018","오피스텔","2019","08","의정부시"
"388772","전세",160.44,201712,"18",43000,0,9,"1994","아파트","2017","12","고양일산서구"
"1338823","전세",59.95,201908,"22",16000,0,2,"2008","아파트","2019","08","화성시"
"166537","전세",35.768,201603,"10",6800,0,5,"2001","아파트","2016","03","이천시"
"1371248","월세",84.8,201910,"1",5000,105,1,"2019","단독다가구","2019","10","김포시"
"499563","전세",59.995,201707,"18",9000,0,8,"2000","아파트","2017","07","여주시"
"1484602","월세",46.8,201901,"2",1000,40,1,"2004","연립다세대","2019","01","안산상록구"
"1407490","월세",42.9,201912,"2",500,35,1,"1996","단독다가구","2019","12","수원팔달구"
"725051","월세",29.44,201711,"1",5000,60,4,"2015","오피스텔","2017","11","성남분당구"
"886356","전세",84.9157,201811,"8",31500,0,14,"2010","아파트","2018","11","용인기흥구"
"342723","전세",51.12,201610,"12",14000,0,3,"1994","연립다세대","2016","10","안양만안구"
"609901","전세",57.33,201702,"13",16000,0,1,"1986","단독다가구","2017","02","성남중원구"
"559836","전세",84.9511,201704,"19",24000,0,2,"2008","아파트","2017","04","화성시"
"1011197","전세",47,201806,"27",7000,0,1,"2004","단독다가구","2018","06","안산단원구"
"1102602","전세",30.38,201803,"3",10000,0,12,"2018","오피스텔","2018","03","광명시"
"1069633","월세",33.21,201801,"25",2000,35,3,"2002","연립다세대","2018","01","부천시"
"1166385","월세",126.66,201902,"20",30010,90,7,"2010","아파트","2019","02","군포시"
"403103","월세",59.74,201704,"7",8000,45,4,"1999","아파트","2017","04","구리시"
"788126","월세",118.61,201808,"27",500,35,13,"2000","아파트","2018","08","남양주시"
"235867","월세",20,201601,"18",1000,40,1,"2003","단독다가구","2016","01","성남수정구"
"1000726","전세",82.98,201807,"31",23000,0,1,"2018","단독다가구","2018","07","수원영통구"
"1395990","전세",37.59,201911,"12",4000,0,1,"1981","단독다가구","2019","11","성남중원구"
"1315017","월세",26.03,201907,"30",3656,6,18,"2017","아파트","2019","07","파주시"
"1465294","전세",59.7,201907,"8",13000,0,1,"2012","연립다세대","2019","07","남양주시"
"405513","전세",51.66,201702,"28",22000,0,12,"1992","아파트","2017","02","군포시"
"489060","전세",37.85,201711,"16",18000,0,5,"1992","아파트","2017","11","안양동안구"
"1009371","전세",30,201806,"8",4000,0,1,"2011","단독다가구","2018","06","시흥시"
"100697","월세",59.89,201604,"19",4198,51,3,"2014","아파트","2016","04","수원영통구"
"44642","월세",59.959,201607,"25",5000,60,3,"2011","아파트","2016","07","김포시"
"114627","전세",84.795,201605,"24",22000,0,2,"1994","아파트","2016","05","안산상록구"
"947061","전세",105,201801,"29",8500,0,1,"2011","단독다가구","2018","01","가평군"
"1075183","전세",81.07,201807,"12",19000,0,5,"2014","연립다세대","2018","07","수원권선구"
"1309940","전세",83.37,201903,"15",18500,0,6,"1998","아파트","2019","03","의정부시"
"565577","전세",67.62,201703,"29",15000,0,1,"2000","단독다가구","2017","03","고양일산동구"
"1157428","전세",84.9961,201902,"16",15000,0,8,"2018","아파트","2019","02","광주시"
"966295","전세",45,201807,"7",4700,0,1,"2010","단독다가구","2018","07","김포시"
"717328","월세",41.97,201711,"27",1000,64,10,"2004","오피스텔","2017","11","고양일산동구"
"249274","전세",62.82,201604,"10",7500,0,1,"1990","단독다가구","2016","04","성남중원구"
"1172968","전세",120.02,201903,"21",27000,0,2,"2006","아파트","2019","03","김포시"
"1522175","월세",20.43,201909,"21",500,39,14,"2018","오피스텔","2019","09","수원영통구"
"1477799","전세",107.8255,201901,"5",62000,0,3,"2017","연립다세대","2019","01","수원영통구"
"617766","전세",50,201704,"29",18000,0,1,"2014","단독다가구","2017","04","수원영통구"
"722073","전세",90.23,201712,"25",35000,0,24,"2001","오피스텔","2017","12","성남분당구"
"397586","전세",84.79,201711,"8",33000,0,9,"1990","아파트","2017","11","광명시"
"13723","월세",84.44,201602,"4",2500,110,13,"2011","아파트","2016","02","고양일산서구"
"786198","전세",124.06,201804,"17",35000,0,8,"2012","아파트","2018","04","남양주시"
"1023794","전세",145.1,201808,"22",18000,0,1,"2016","단독다가구","2018","08","양평군"
